layer,kind,tensor,type,cols,rows,batch,calls,ms
28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,32,4,88.574238
28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,32,4,86.703495
28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,32,4,235.511911
28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,32,4,234.577536
28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,32,4,240.672060
29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,32,4,88.894184
29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,32,4,87.473953
29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,32,4,88.919167
29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,32,4,88.675594
29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,32,4,238.660966
29,ffn_up,blk.29.ffn_up.weight,Q4_0,4096,11008,32,4,234.859283
29,ffn_down,blk.29.ffn_down.weight,Q4_0,11008,4096,32,4,235.971089
30,q_proj,blk.30.attn_q.weight,Q4_0,4096,4096,32,4,87.191768
30,k_proj,blk.30.attn_k.weight,Q4_0,4096,4096,32,4,87.886733
30,v_proj,blk.30.attn_v.weight,Q4_0,4096,4096,32,4,87.916251
30,o_proj,blk.30.attn_output.weight,Q4_0,4096,4096,32,4,87.603662
30,ffn_gate,blk.30.ffn_gate.weight,Q4_0,4096,11008,32,4,238.007475
30,ffn_up,blk.30.ffn_up.weight,Q4_0,4096,11008,32,4,237.782109
30,ffn_down,blk.30.ffn_down.weight,Q4_0,11008,4096,32,4,231.835913
31,q_proj,blk.31.attn_q.weight,Q4_0,4096,4096,32,4,87.662315
31,k_proj,blk.31.attn_k.weight,Q4_0,4096,4096,32,4,89.123615
31,v_proj,blk.31.attn_v.weight,Q4_0,4096,4096,32,4,88.628040
31,o_proj,blk.31.attn_output.weight,Q4_0,4096,4096,32,4,88.374032
31,ffn_gate,blk.31.ffn_gate.weight,Q4_0,4096,11008,32,4,238.387143
31,ffn_up,blk.31.ffn_up.weight,Q4_0,4096,11008,32,4,236.147629
