layer,kind,tensor,type,cols,rows,batch,calls,ms
24,k_proj,blk.24.attn_k.weight,Q4_0,4096,4096,32,4,77.095906
24,v_proj,blk.24.attn_v.weight,Q4_0,4096,4096,32,4,76.904435
24,o_proj,blk.24.attn_output.weight,Q4_0,4096,4096,32,4,76.614568
24,ffn_gate,blk.24.ffn_gate.weight,Q4_0,4096,11008,32,4,207.971314
24,ffn_up,blk.24.ffn_up.weight,Q4_0,4096,11008,32,4,208.354167
24,ffn_down,blk.24.ffn_down.weight,Q4_0,11008,4096,32,4,203.464498
25,q_proj,blk.25.attn_q.weight,Q4_0,4096,4096,32,4,77.115264
25,k_proj,blk.25.attn_k.weight,Q4_0,4096,4096,32,4,77.930877
25,v_proj,blk.25.attn_v.weight,Q4_0,4096,4096,32,4,78.123993
25,o_proj,blk.25.attn_output.weight,Q4_0,4096,4096,32,4,77.575739
25,ffn_gate,blk.25.ffn_gate.weight,Q4_0,4096,11008,32,4,207.586362
25,ffn_up,blk.25.ffn_up.weight,Q4_0,4096,11008,32,4,207.899701
25,ffn_down,blk.25.ffn_down.weight,Q4_0,11008,4096,32,4,200.784217
26,q_proj,blk.26.attn_q.weight,Q4_0,4096,4096,32,4,76.732589
26,k_proj,blk.26.attn_k.weight,Q4_0,4096,4096,32,4,77.403849
26,v_proj,blk.26.attn_v.weight,Q4_0,4096,4096,32,4,77.387331
26,o_proj,blk.26.attn_output.weight,Q4_0,4096,4096,32,4,76.824102
26,ffn_gate,blk.26.ffn_gate.weight,Q4_0,4096,11008,32,4,208.614640
26,ffn_up,blk.26.ffn_up.weight,Q4_0,4096,11008,32,4,207.322827
26,ffn_down,blk.26.ffn_down.weight,Q4_0,11008,4096,32,4,200.825996
27,q_proj,blk.27.attn_q.weight,Q4_0,4096,4096,32,4,76.787219
27,k_proj,blk.27.attn_k.weight,Q4_0,4096,4096,32,4,76.623424
27,v_proj,blk.27.attn_v.weight,Q4_0,4096,4096,32,4,76.888537
27,o_proj,blk.27.attn_output.weight,Q4_0,4096,4096,32,4,76.804898
27,ffn_gate,blk.27.ffn_gate.weight,Q4_0,4096,11008,32,4,207.451637
