layer,kind,tensor,type,cols,rows,batch,calls,ms
29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,32,4,106.030203
29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,32,4,107.887315
29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,32,4,294.868355
29,ffn_up,blk.29.ffn_up.weight,Q4_0,4096,11008,32,4,290.589674
29,ffn_down,blk.29.ffn_down.weight,Q4_0,11008,4096,32,4,290.521288
30,q_proj,blk.30.attn_q.weight,Q4_0,4096,4096,32,4,107.046933
30,k_proj,blk.30.attn_k.weight,Q4_0,4096,4096,32,4,107.489792
30,v_proj,blk.30.attn_v.weight,Q4_0,4096,4096,32,4,107.396604
30,o_proj,blk.30.attn_output.weight,Q4_0,4096,4096,32,4,106.541655
30,ffn_gate,blk.30.ffn_gate.weight,Q4_0,4096,11008,32,4,288.329341
30,ffn_up,blk.30.ffn_up.weight,Q4_0,4096,11008,32,4,289.425345
30,ffn_down,blk.30.ffn_down.weight,Q4_0,11008,4096,32,4,285.934945
31,q_proj,blk.31.attn_q.weight,Q4_0,4096,4096,32,4,105.547605
31,k_proj,blk.31.attn_k.weight,Q4_0,4096,4096,32,4,109.007339
31,v_proj,blk.31.attn_v.weight,Q4_0,4096,4096,32,4,106.175096
31,o_proj,blk.31.attn_output.weight,Q4_0,4096,4096,32,4,105.309447
31,ffn_gate,blk.31.ffn_gate.weight,Q4_0,4096,11008,32,4,285.911598
31,ffn_up,blk.31.ffn_up.weight,Q4_0,4096,11008,32,4,287.339342
31,ffn_down,blk.31.ffn_down.weight,Q4_0,11008,4096,32,4,289.587148
-1,output,output.weight,Q6_K,4096,32000,1,17,3039.658911
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,1,16,18.644957
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,1,16,18.118275
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,1,16,18.203790
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,1,16,18.651261
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,1,16,48.959984
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,1,16,51.715998
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,1,16,50.408892
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,1,16,18.214739
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,1,16,21.332712
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,1,16,18.187868
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,1,16,19.054409
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,1,16,51.650697
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,1,16,51.622161
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,1,16,51.274270
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,1,16,18.253734
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,1,16,21.007183
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,1,16,18.138503
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,1,16,19.820490
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,1,16,51.593633
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,1,16,50.731295
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,1,16,51.786885
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,1,16,18.182447
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,1,16,21.151334
